"scrape_datumtijd","forumsectie","paginanummer","titel","OP_nick","OP_status","OP_post_datumtijd","LP_nick","LP_status","LP_post_datumtijd","aantal_replies","aantal_views","status_post","tags"
"March 30, 2021, 10:49 AM","Databases",1,"[12GB+ compressed] Parsed Domain Whois Database of domains registered in 2019.","bubuns176","rf_noob"," 1 minute ago","bubuns176","rf_noob","1 minute ago ",0,0,"New","CSV"
"March 30, 2021, 10:49 AM","Databases",1,"gamingspaceshop.com - Exclusively for the raidforums.com","Kiraela176","rf_elite"," March 24, 2021 at 11:55 AM","lakiboka176","Unknown","1 hour ago ",9,"1,167","New","TXT"
"March 30, 2021, 10:49 AM","Databases",1,"FortnitePorn.org - 76k MD5(Wordpress)","lakiboka176","Unknown"," March 28, 2021 at 12:05 PM","lakiboka176","Unknown","1 hour ago ",7,"1,269","New","SQL"
"March 30, 2021, 10:49 AM","Databases",1,"Yeeapps.com, Chinese mobile application developers data breach","Mastifo176","rf_i rf_god"," 1 hour ago","Mastifo176","rf_i rf_god","1 hour ago ",0,159,"New","CSV"
"March 30, 2021, 10:49 AM","Databases",1,"[21-03-2021 to 26-03-2021] Global Domain Registration Database With parsed WHOIS info","bubuns176","rf_noob"," March 27, 2021 at 10:11 PM","bubuns176","rf_noob","1 hour ago ",14,"1,246","New","CSV"
"March 30, 2021, 10:49 AM","Databases",1,"yvesrocher france customer db 2.4 million lines","someviking176","rf_i rf_vip"," March 28, 2021 at 02:27 PM","moria176","rf_noob","1 hour ago ",1,987,"New","CSV"
"March 30, 2021, 10:49 AM","Databases",1,"Whois 142M records (old)","notsowise176","rf_i rf_mvp"," February 06, 2021 at 04:10 PM","tokyo176","rf_member","4 hours ago ",13,"2,821","New","Unknown"
"March 30, 2021, 10:49 AM","Databases",1,"140M Brazil CPF and CNPJ database","virtusub176","rf_i rf_mvp"," November 15, 2020 at 10:36 AM","willforget176","rf_noob","4 hours ago ",123,"35,868","New","Unknown"
"March 30, 2021, 10:49 AM","Databases",1,"meggieschneider.com ADMIN + database","kitkat176","rf_stars"," Yesterday at 09:44 PM","pompoen176","Unknown","5 hours ago ",4,508,"New","CSV"
"March 30, 2021, 10:49 AM","Databases",1,"http://www.icn.srv.br/ human resources advisory company from brazil","mistery176","rf_member"," March 23, 2021 at 07:04 PM","thx_ms176","rf_noob","6 hours ago ",3,"1,040","New","CSV"
"March 30, 2021, 10:49 AM","Databases",1,"Ransomware links","radiforumm176","rf_member"," July 02, 2020 at 01:21 PM","teehee176","rf_noob","6 hours ago ",256,"82,431","New","Unknown"
"March 30, 2021, 10:49 AM","Databases",1,"Effex Media LLC data breach, effexmedia.com and affiliated sites dumped","Mastifo176","rf_i rf_god"," March 19, 2021 at 07:57 PM","pompoen176","Unknown","6 hours ago ",7,"2,055","New","CSV"
"March 30, 2021, 10:49 AM","Databases",1,"[mmgfusion.com] 14,772,314 Patients","pompoen176","Unknown"," January 13, 2021 at 05:28 PM","abyou176","rf_elite","7 hours ago ",12,"2,599","New","CSV"
"March 30, 2021, 10:49 AM","Databases",1,"Australian Business Datalist 2019 Edition (Excel)","avalonus176","rf_i rf_god"," March 08, 2020 at 08:03 AM","krim176","rf_elite","7 hours ago ",23,"5,663","New","Unknown"
"March 30, 2021, 10:49 AM","Databases",1,"Latin America DB +800k","locu176","rf_elite"," March 25, 2021 at 12:37 AM","pompoen176","Unknown","7 hours ago ",5,"1,204","New","TXT"
"March 30, 2021, 10:49 AM","Databases",1,"ELBIBLIOTE.COM - DATABASE","ghosty176","rf_noob"," March 25, 2021 at 06:44 PM","pompoen176","Unknown","7 hours ago ",1,871,"New","CSV"
"March 30, 2021, 10:49 AM","Databases",1,"21k email + pass of a major bank","yinyang176","rf_banned"," March 27, 2021 at 11:05 PM","pompoen176","Unknown","7 hours ago ",3,794,"New","Unknown"
"March 30, 2021, 10:49 AM","Databases",1,"playdatabase.com - PLAINTEXT - USERNAME,EMAIL,PASSWORD 16,000 LINES","donut176","rf_i rf_vip"," March 27, 2021 at 07:40 PM","pompoen176","Unknown","7 hours ago ",6,983,"New","CSV"
"March 30, 2021, 10:49 AM","Databases",1,"CARDMAFIA.CC 500K","slimyface176","rf_noob"," 10 hours ago","slimyface176","rf_noob","10 hours ago ",0,74,"New","SQL"
"March 30, 2021, 10:49 AM","Databases",1,"DATABASE OF THE SOCIAL SECURITY OF PERU","sombra176","rf_i rf_vip"," March 16, 2021 at 05:32 AM","ecuador176","rf_noob","11 hours ago ",3,"1,248","New","Unknown"
"March 30, 2021, 10:49 AM","Databases",1,"Utair avia company customers 2019 (530k) Russian Database Leak","beyonce176","rf_i rf_vip"," Yesterday at 08:44 PM","hashas176","rf_elite","11 hours ago ",3,422,"New","TXT"
"March 30, 2021, 10:49 AM","Databases",1,"[gainful.com] 102,417 Customers","pompoen176","Unknown"," March 28, 2021 at 07:28 PM","pompoen176","Unknown","Yesterday at 10:13 PM ",11,"1,192","New","CSV"
"March 30, 2021, 10:49 AM","Databases",1,"Metin2 Database Archive 1 million sql format DATABASE DOWNLOAD.","pantera176","rf_noob"," March 21, 2021 at 02:55 PM","pantera176","rf_noob","Yesterday at 08:55 PM ",9,"1,935","New","SQL"
"March 30, 2021, 10:49 AM","Databases",1,"thinklinkeg.com (Dump, Leak, Customers)","teamvis176","rf_tryhard"," Yesterday at 08:28 PM","teamvis176","rf_tryhard","Yesterday at 08:28 PM ",0,425,"New","TXT"
"March 30, 2021, 10:49 AM","Databases",1,"robertkuo.com (BY me to you)","povpov176","rf_leet"," March 16, 2021 at 04:54 PM","pompoen176","Unknown","Yesterday at 07:41 PM ",3,"1,176","New","SQL"
"March 30, 2021, 10:49 AM","Databases",1,"pelican-post.org data dumped (22/03/2021 Time: 3:20pm GMT+1)","povpov176","rf_leet"," March 22, 2021 at 03:37 PM","pompoen176","Unknown","Yesterday at 07:34 PM ",1,870,"New","SQL"
"March 30, 2021, 10:49 AM","Databases",1,"athena.sg (dumped 22/03/2021 time: 1:00pm GMT+1)","povpov176","rf_leet"," March 22, 2021 at 01:43 PM","pompoen176","Unknown","Yesterday at 07:30 PM ",2,897,"New","SQL"
"March 30, 2021, 10:49 AM","Databases",1,"Palazzotorlo.it (dump from me to you)","povpov176","rf_leet"," Yesterday at 08:59 AM","merkloos176","rf_i rf_vip","Yesterday at 07:21 PM ",3,649,"New","SQL"
"April 02, 2021, 02:19 PM","Databases",29,"uTorrent leaked database","whiteshark176","rf_noob"," December 29, 2018 at 02:54 PM","knee176","rf_owner","February 04, 2021 at 03:46 PM ",2,"1,747","New","Unknown"
"April 02, 2021, 02:19 PM","Databases",29,"ShopBack - 22M Records - Parsed","lekkeface176","rf_i rf_mvp"," November 15, 2020 at 09:08 PM","yoshi176","rf_noob","February 04, 2021 at 12:02 PM ",34,"9,104","New","Unknown"
"April 02, 2021, 02:19 PM","Databases",29,"Ukraine. Land owners. Kiev. legal entities","koraal176","rf_i rf_mvp"," November 30, 2020 at 06:31 AM","koraal176","rf_i rf_mvp","February 04, 2021 at 11:29 AM ",4,"1,635","New","Unknown"
